GEOID,latitude,longitude,MetroName_x,2011_Current$_GDP,2012_Current$_GDP,2013_Current$_GDP,2014_Current$_GDP,2015_Current$_GDP,2016_Current$_GDP,2016_Current$_Rank,2011_Real$09_GDP,2012_Real$09_GDP,2013_Real$09_GDP,2014_Real$09_GDP,2015_Real$09_GDP,2016_Real$09_GDP,2012_RealGDP%_Change,2013_RealGDP%_Change,2014_RealGDP%_Change,2015_RealGDP%_Change,2016_RealGDP%_Change,2016Rank,Natural resources and mining,Construction,Durable-goods manufacturing,Nondurable-goods manufacturing,Trade,Transportation and utilities,Information,"Finance, insurance, real estate, rental, and leasing",Professional and business services,"Educational services, health care, and social assistance","Arts, entertainment, recreation, accommodation, and food services","Other services, except government",Government,2010_Population_Actual,2010_Population_Estimate,2011_Population_Estimate,2012_Population_Estimate,2013_Population_Estimate,2014_Population_Estimate,2015_Population_Estimate,2016_Population_Estimate,ALand_SQMeters,AWater_SQMeters,ALand_SQMiles,AWater_SQMiles,latitude,longitude                                                                                                 
10180,32.452022,-99.718743,"Abilene, TX","6,039","6,397","6,922","7,454","6,972","6,752",253,"5,660","5,932","6,294","6,701","6,733","6,539",4.8,6.1,6.5,0.5,-2.9,360,-2.47,-0.86,-0.15,0.34,-0.38,0.12,-0.12,0.28,-0.14,0.41,-0.1,0.01,0.2,165252,165603,166651,167540,167609,168465,169893,170364,7105577372,36847363,2743.479,14.227,32.452022,-99.718743
10420,41.146639,-81.35011,"Akron, OH","29,445","30,011","31,308","33,461","35,365","37,300",75,"28,671","28,581","29,301","30,815","32,370","33,843",-0.3,2.5,5.2,5,4.6,25,3.27,0.06,-0.56,0.69,0.05,0.1,0.32,0.38,0.28,0.06,-0.03,-0.1,0.03,703200,703124,703115,702477,703433,704355,703358,702221,2331619578,62018442,900.243,23.945,41.146639,-81.35011
10500,31.589303,-84.174913,"Albany, GA","4,979","5,127","5,248","5,173","5,099","5,124",313,"4,787","4,811","4,819","4,655","4,488","4,426",0.5,0.2,-3.4,-3.6,-1.4,322,(D),0.43,(D),(D),(D),(D),-0.06,-1.56,(D),0.18,0.01,0.18,-0.07,157308,157663,157814,157322,155953,155154,153508,152219,5005402344,65696221,1932.597,25.365,31.589303,-84.174913
10540,44.488898,-122.537208,"Albany, OR","3,385","3,530","3,559","3,629","3,772","4,027",351,"3,233","3,334","3,310","3,280","3,386","3,603",3.1,-0.7,-0.9,3.2,6.4,7,0.03,0.29,1.99,1.63,0.54,0.51,0.19,0.46,0.03,0.32,0.22,0.04,0.18,116672,116888,118127,118332,118496,119188,120444,122849,5932815078,49654169,2290.673,19.172,44.488898,-122.537208
10580,42.78792,-73.942348,"Albany-Schenectady-Troy, NY","44,112","45,731","47,094","48,563","50,910","52,339",57,"42,812","43,386","43,764","44,120","45,210","45,640",1.3,0.9,0.8,2.5,1,213,-0.07,-0.19,0.16,-0.19,0.17,0.04,0.22,0.32,0.47,0.02,0.05,-0.02,-0.03,870716,871103,873214,875637,878401,879775,880803,881839,7282106737,172589034,2811.637,66.637,42.78792,-73.942348
10740,35.116603,-106.456535,"Albuquerque, NM","38,117","38,955","37,897","39,805","41,561","43,250",64,"37,238","37,394","35,745","36,809","37,690","38,457",0.4,-4.4,3,2.4,2,150,0.19,0.27,-0.13,0.11,0.11,0.05,(D),(D),0.33,0.28,0,0.05,0.18,887077,889639,896818,900781,902911,903658,905174,909906,24041256743,37921741,9282.382,14.642,35.116603,-106.456535
10780,31.325334,-92.54688,"Alexandria, LA","5,341","5,435","5,483","5,602","5,650","6,106",271,"5,148","5,113","5,046","5,040","5,017","5,366",-0.7,-1.3,-0.1,-0.5,7,4,7.19,-0.04,(D),(D),0.07,0.03,-0.17,-0.45,0.84,-0.1,0.03,0.1,-0.26,153922,154136,154426,154588,154828,154861,154662,154789,5079062315,169057160,1961.037,65.273,31.325334,-92.54688
10900,40.789339,-75.398158,"Allentown-Bethlehem-Easton, PA-NJ","33,142","33,995","35,624","39,132","41,116","42,700",65,"32,360","32,472","33,544","36,204","37,270","38,097",0.3,3.3,7.9,2.9,2.2,131,0.09,0.1,0.03,0.33,0.34,0.15,0.15,0.52,0.26,0.26,0.04,0.05,-0.1,821173,822129,825160,827294,827238,830452,833049,835652,3763879943,58581593,1453.242,22.618,40.789339,-75.398158
11020,40.497922,-78.310636,"Altoona, PA","4,706","4,778","4,928","5,096","5,314","5,371",299,"4,555","4,527","4,584","4,646","4,733","4,705",-0.6,1.3,1.4,1.9,-0.6,297,0.26,-0.28,-0.32,-0.25,-0.5,-0.08,0.15,0.36,0.15,-0.05,-0.02,0.12,-0.13,127089,127053,127178,126991,126419,126019,125506,124650,1361815246,3285511,525.8,1.269,40.497922,-78.310636
11100,35.248001,-101.908667,"Amarillo, TX","11,763","12,025","12,442","12,954","12,825","13,009",173,"10,943","11,044","11,181","11,479","11,763","11,906",0.9,1.2,2.7,2.5,1.2,191,(D),0.17,0.45,0.3,0.23,-0.1,-0.02,0.12,0.23,0.18,-0.07,0.02,0.17,251933,252722,256008,257784,258952,260858,261613,263342,13338829042,87118916,5150.151,33.637,35.248001,-101.908667
